Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./torus_matrix_multicore 1 128 +RTS -N1",0.14848095744695997,0.14600078229003746,0.14990206003854956,2.506306510494643e-3,1.493542795374425e-3,3.4190644812571586e-3
"bench/./torus_matrix_multicore 1 128 +RTS -N2",0.18852954094962587,0.17546316887297425,0.1990415516971241,1.4685607618428173e-2,9.174756802231709e-3,2.065740386187617e-2
"bench/./torus_matrix_multicore 1 128 +RTS -N4",0.30158688648311305,0.28709904770528827,0.31684496046492616,1.8703737791214627e-2,9.301658246246847e-3,2.35922632714472e-2
"bench/./torus_matrix_multicore 1 128 +RTS -N8",1.1656666374564209,0.8033407387469716,1.3483080735821291,0.313814779710732,0.0,0.31634424693707247
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./torus_matrix_parrows 256 2048 +RTS -N256",2.265030982994839,2.257594206095938,2.2692149877907877,6.590176418135906e-3,0.0,7.246908885694387e-3
"bench/./torus_matrix_eden 256 2048 +RTS -N256",2.23173472656522,2.2101199003475966,2.244361328045796,1.9498347399233746e-2,0.0,2.186991529128211e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"bench/./torus_matrix_parrows 256 2048 +RTS -N256",2.244152090882492,2.2344704094542207,2.250177985465198,9.107161495308866e-3,0.0,1.0437155578302146e-2
"bench/./torus_matrix_eden 256 2048 +RTS -N256",2.239352907527882,2.2284321394948305,2.2470640343199615,1.1620669868778865e-2,0.0,1.3356063387486836e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
